unit,parent_iso3,metric,year,value,unit_measure,precision,methodology_notes
AE-AZ,ARE,broadband_subscriptions,2023.0,37.0968,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
AE-FU,ARE,population,2024.0,10876981.0,people,1,Total population (World Bank estimate)
AE-FU,ARE,gdp,2024.0,537078829135.466,current USD,2,GDP current US$ (World Bank estimate)
AE-FU,ARE,unemployment_rate,2024.0,2.133,% of labor force,2,Unemployment rate (modeled ILO estimate)
AE-FU,ARE,inflation_cpi,2024.0,1.66336510224894,% change,2,"Inflation, consumer prices annual %"
AE-FU,ARE,labour_force_participation,2024.0,77.707,% of population,2,Labor force participation rate (modeled ILO estimate)
AE-FU,ARE,broadband_subscriptions,2023.0,37.0968,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
AE-SH,ARE,population,2024.0,10876981.0,people,1,Total population (World Bank estimate)
AE-SH,ARE,gdp,2024.0,537078829135.466,current USD,2,GDP current US$ (World Bank estimate)
AE-SH,ARE,unemployment_rate,2024.0,2.133,% of labor force,2,Unemployment rate (modeled ILO estimate)
AE-SH,ARE,inflation_cpi,2024.0,1.66336510224894,% change,2,"Inflation, consumer prices annual %"
AE-SH,ARE,labour_force_participation,2024.0,77.707,% of population,2,Labor force participation rate (modeled ILO estimate)
AE-SH,ARE,broadband_subscriptions,2023.0,37.0968,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
AE-DU,ARE,population,2024.0,10876981.0,people,1,Total population (World Bank estimate)
AE-DU,ARE,gdp,2024.0,537078829135.466,current USD,2,GDP current US$ (World Bank estimate)
AE-DU,ARE,unemployment_rate,2024.0,2.133,% of labor force,2,Unemployment rate (modeled ILO estimate)
AE-DU,ARE,inflation_cpi,2024.0,1.66336510224894,% change,2,"Inflation, consumer prices annual %"
AE-DU,ARE,labour_force_participation,2024.0,77.707,% of population,2,Labor force participation rate (modeled ILO estimate)
AE-DU,ARE,broadband_subscriptions,2023.0,37.0968,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
AE-RK,ARE,population,2024.0,10876981.0,people,1,Total population (World Bank estimate)
AE-RK,ARE,gdp,2024.0,537078829135.466,current USD,2,GDP current US$ (World Bank estimate)
AE-RK,ARE,unemployment_rate,2024.0,2.133,% of labor force,2,Unemployment rate (modeled ILO estimate)
AE-RK,ARE,inflation_cpi,2024.0,1.66336510224894,% change,2,"Inflation, consumer prices annual %"
AE-RK,ARE,labour_force_participation,2024.0,77.707,% of population,2,Labor force participation rate (modeled ILO estimate)
AE-RK,ARE,broadband_subscriptions,2023.0,37.0968,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
AE-UQ,ARE,population,2024.0,10876981.0,people,1,Total population (World Bank estimate)
AE-UQ,ARE,gdp,2024.0,537078829135.466,current USD,2,GDP current US$ (World Bank estimate)
AE-UQ,ARE,unemployment_rate,2024.0,2.133,% of labor force,2,Unemployment rate (modeled ILO estimate)
AE-UQ,ARE,inflation_cpi,2024.0,1.66336510224894,% change,2,"Inflation, consumer prices annual %"
AE-UQ,ARE,labour_force_participation,2024.0,77.707,% of population,2,Labor force participation rate (modeled ILO estimate)
AE-UQ,ARE,broadband_subscriptions,2023.0,37.0968,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
AE-AJ,ARE,population,2024.0,10876981.0,people,1,Total population (World Bank estimate)
AE-AJ,ARE,gdp,2024.0,537078829135.466,current USD,2,GDP current US$ (World Bank estimate)
AE-AJ,ARE,unemployment_rate,2024.0,2.133,% of labor force,2,Unemployment rate (modeled ILO estimate)
AE-AJ,ARE,inflation_cpi,2024.0,1.66336510224894,% change,2,"Inflation, consumer prices annual %"
AE-AJ,ARE,labour_force_participation,2024.0,77.707,% of population,2,Labor force participation rate (modeled ILO estimate)
AE-AJ,ARE,broadband_subscriptions,2023.0,37.0968,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
AF-BDS,AFG,population,2024.0,42647492.0,people,1,Total population (World Bank estimate)
AF-BDS,AFG,gdp,2023.0,17152234636.8715,current USD,2,GDP current US$ (World Bank estimate)
AF-BDS,AFG,unemployment_rate,2024.0,13.295,% of labor force,2,Unemployment rate (modeled ILO estimate)
AF-BDS,AFG,inflation_cpi,2024.0,-6.60118564073726,% change,2,"Inflation, consumer prices annual %"
AF-BDS,AFG,labour_force_participation,2024.0,37.496,% of population,2,Labor force participation rate (modeled ILO estimate)
AF-BDS,AFG,broadband_subscriptions,2023.0,0.0800873,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
AF-BDS,AFG,population,2024.0,42647492.0,people,1,Total population (World Bank estimate)
AF-BDS,AFG,gdp,2023.0,17152234636.8715,current USD,2,GDP current US$ (World Bank estimate)
AF-BDS,AFG,unemployment_rate,2024.0,13.295,% of labor force,2,Unemployment rate (modeled ILO estimate)
AF-BDS,AFG,inflation_cpi,2024.0,-6.60118564073726,% change,2,"Inflation, consumer prices annual %"
AF-BDS,AFG,labour_force_participation,2024.0,37.496,% of population,2,Labor force participation rate (modeled ILO estimate)
AF-BDS,AFG,broadband_subscriptions,2023.0,0.0800873,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
AF-BGL,AFG,population,2024.0,42647492.0,people,1,Total population (World Bank estimate)
AF-BGL,AFG,gdp,2023.0,17152234636.8715,current USD,2,GDP current US$ (World Bank estimate)
AF-BGL,AFG,unemployment_rate,2024.0,13.295,% of labor force,2,Unemployment rate (modeled ILO estimate)
AF-BGL,AFG,inflation_cpi,2024.0,-6.60118564073726,% change,2,"Inflation, consumer prices annual %"
AF-BGL,AFG,labour_force_participation,2024.0,37.496,% of population,2,Labor force participation rate (modeled ILO estimate)
AF-BGL,AFG,broadband_subscriptions,2023.0,0.0800873,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
AF-BGL,AFG,population,2024.0,42647492.0,people,1,Total population (World Bank estimate)
AF-BGL,AFG,gdp,2023.0,17152234636.8715,current USD,2,GDP current US$ (World Bank estimate)
AF-BGL,AFG,unemployment_rate,2024.0,13.295,% of labor force,2,Unemployment rate (modeled ILO estimate)
AF-BGL,AFG,inflation_cpi,2024.0,-6.60118564073726,% change,2,"Inflation, consumer prices annual %"
AF-BGL,AFG,labour_force_participation,2024.0,37.496,% of population,2,Labor force participation rate (modeled ILO estimate)
AF-BGL,AFG,broadband_subscriptions,2023.0,0.0800873,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
AF-BAL,AFG,population,2024.0,42647492.0,people,1,Total population (World Bank estimate)
AF-BAL,AFG,gdp,2023.0,17152234636.8715,current USD,2,GDP current US$ (World Bank estimate)
AF-BAL,AFG,unemployment_rate,2024.0,13.295,% of labor force,2,Unemployment rate (modeled ILO estimate)
AF-BAL,AFG,inflation_cpi,2024.0,-6.60118564073726,% change,2,"Inflation, consumer prices annual %"
AF-BAL,AFG,labour_force_participation,2024.0,37.496,% of population,2,Labor force participation rate (modeled ILO estimate)
AF-BAL,AFG,broadband_subscriptions,2023.0,0.0800873,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
AF-BAL,AFG,population,2024.0,42647492.0,people,1,Total population (World Bank estimate)
AF-BAL,AFG,gdp,2023.0,17152234636.8715,current USD,2,GDP current US$ (World Bank estimate)
AF-BAL,AFG,unemployment_rate,2024.0,13.295,% of labor force,2,Unemployment rate (modeled ILO estimate)
AF-BAL,AFG,inflation_cpi,2024.0,-6.60118564073726,% change,2,"Inflation, consumer prices annual %"
AF-BAL,AFG,labour_force_participation,2024.0,37.496,% of population,2,Labor force participation rate (modeled ILO estimate)
AF-BAL,AFG,broadband_subscriptions,2023.0,0.0800873,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
AF-BDG,AFG,population,2024.0,42647492.0,people,1,Total population (World Bank estimate)
AF-BDG,AFG,gdp,2023.0,17152234636.8715,current USD,2,GDP current US$ (World Bank estimate)
AF-BDG,AFG,unemployment_rate,2024.0,13.295,% of labor force,2,Unemployment rate (modeled ILO estimate)
AF-BDG,AFG,inflation_cpi,2024.0,-6.60118564073726,% change,2,"Inflation, consumer prices annual %"
AF-BDG,AFG,labour_force_participation,2024.0,37.496,% of population,2,Labor force participation rate (modeled ILO estimate)
AF-BDG,AFG,broadband_subscriptions,2023.0,0.0800873,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
AF-BDG,AFG,population,2024.0,42647492.0,people,1,Total population (World Bank estimate)
AF-BDG,AFG,gdp,2023.0,17152234636.8715,current USD,2,GDP current US$ (World Bank estimate)
AF-BDG,AFG,unemployment_rate,2024.0,13.295,% of labor force,2,Unemployment rate (modeled ILO estimate)
AF-BDG,AFG,inflation_cpi,2024.0,-6.60118564073726,% change,2,"Inflation, consumer prices annual %"
AF-BDG,AFG,labour_force_participation,2024.0,37.496,% of population,2,Labor force participation rate (modeled ILO estimate)
AF-BDG,AFG,broadband_subscriptions,2023.0,0.0800873,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
AF-BAM,AFG,population,2024.0,42647492.0,people,1,Total population (World Bank estimate)
AF-BAM,AFG,gdp,2023.0,17152234636.8715,current USD,2,GDP current US$ (World Bank estimate)
AF-BAM,AFG,unemployment_rate,2024.0,13.295,% of labor force,2,Unemployment rate (modeled ILO estimate)
AF-BAM,AFG,inflation_cpi,2024.0,-6.60118564073726,% change,2,"Inflation, consumer prices annual %"
AF-BAM,AFG,labour_force_participation,2024.0,37.496,% of population,2,Labor force participation rate (modeled ILO estimate)
AF-BAM,AFG,broadband_subscriptions,2023.0,0.0800873,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
AF-BAM,AFG,population,2024.0,42647492.0,people,1,Total population (World Bank estimate)
AF-BAM,AFG,gdp,2023.0,17152234636.8715,current USD,2,GDP current US$ (World Bank estimate)
AF-BAM,AFG,unemployment_rate,2024.0,13.295,% of labor force,2,Unemployment rate (modeled ILO estimate)
AF-BAM,AFG,inflation_cpi,2024.0,-6.60118564073726,% change,2,"Inflation, consumer prices annual %"
AF-BAM,AFG,labour_force_participation,2024.0,37.496,% of population,2,Labor force participation rate (modeled ILO estimate)
AF-BAM,AFG,broadband_subscriptions,2023.0,0.0800873,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
AF-DAY,AFG,population,2024.0,42647492.0,people,1,Total population (World Bank estimate)
AF-DAY,AFG,gdp,2023.0,17152234636.8715,current USD,2,GDP current US$ (World Bank estimate)
AF-DAY,AFG,unemployment_rate,2024.0,13.295,% of labor force,2,Unemployment rate (modeled ILO estimate)
AF-DAY,AFG,inflation_cpi,2024.0,-6.60118564073726,% change,2,"Inflation, consumer prices annual %"
AF-DAY,AFG,labour_force_participation,2024.0,37.496,% of population,2,Labor force participation rate (modeled ILO estimate)
AF-DAY,AFG,broadband_subscriptions,2023.0,0.0800873,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
AF-DAY,AFG,population,2024.0,42647492.0,people,1,Total population (World Bank estimate)
AF-DAY,AFG,gdp,2023.0,17152234636.8715,current USD,2,GDP current US$ (World Bank estimate)
AF-DAY,AFG,unemployment_rate,2024.0,13.295,% of labor force,2,Unemployment rate (modeled ILO estimate)
AF-DAY,AFG,inflation_cpi,2024.0,-6.60118564073726,% change,2,"Inflation, consumer prices annual %"
AF-DAY,AFG,labour_force_participation,2024.0,37.496,% of population,2,Labor force participation rate (modeled ILO estimate)
AF-DAY,AFG,broadband_subscriptions,2023.0,0.0800873,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
AF-FRA,AFG,population,2024.0,42647492.0,people,1,Total population (World Bank estimate)
AF-FRA,AFG,gdp,2023.0,17152234636.8715,current USD,2,GDP current US$ (World Bank estimate)
AF-FRA,AFG,unemployment_rate,2024.0,13.295,% of labor force,2,Unemployment rate (modeled ILO estimate)
AF-FRA,AFG,inflation_cpi,2024.0,-6.60118564073726,% change,2,"Inflation, consumer prices annual %"
AF-FRA,AFG,labour_force_participation,2024.0,37.496,% of population,2,Labor force participation rate (modeled ILO estimate)
AF-FRA,AFG,broadband_subscriptions,2023.0,0.0800873,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
AF-FRA,AFG,population,2024.0,42647492.0,people,1,Total population (World Bank estimate)
AF-FRA,AFG,gdp,2023.0,17152234636.8715,current USD,2,GDP current US$ (World Bank estimate)
AF-FRA,AFG,unemployment_rate,2024.0,13.295,% of labor force,2,Unemployment rate (modeled ILO estimate)
AF-FRA,AFG,inflation_cpi,2024.0,-6.60118564073726,% change,2,"Inflation, consumer prices annual %"
AF-FRA,AFG,labour_force_participation,2024.0,37.496,% of population,2,Labor force participation rate (modeled ILO estimate)
AF-FRA,AFG,broadband_subscriptions,2023.0,0.0800873,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
AF-FYB,AFG,population,2024.0,42647492.0,people,1,Total population (World Bank estimate)
AF-FYB,AFG,gdp,2023.0,17152234636.8715,current USD,2,GDP current US$ (World Bank estimate)
AF-FYB,AFG,unemployment_rate,2024.0,13.295,% of labor force,2,Unemployment rate (modeled ILO estimate)
AF-FYB,AFG,inflation_cpi,2024.0,-6.60118564073726,% change,2,"Inflation, consumer prices annual %"
AF-FYB,AFG,labour_force_participation,2024.0,37.496,% of population,2,Labor force participation rate (modeled ILO estimate)
AF-FYB,AFG,broadband_subscriptions,2023.0,0.0800873,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
AF-FYB,AFG,population,2024.0,42647492.0,people,1,Total population (World Bank estimate)
AF-FYB,AFG,gdp,2023.0,17152234636.8715,current USD,2,GDP current US$ (World Bank estimate)
AF-FYB,AFG,unemployment_rate,2024.0,13.295,% of labor force,2,Unemployment rate (modeled ILO estimate)
AF-FYB,AFG,inflation_cpi,2024.0,-6.60118564073726,% change,2,"Inflation, consumer prices annual %"
AF-FYB,AFG,labour_force_participation,2024.0,37.496,% of population,2,Labor force participation rate (modeled ILO estimate)
AF-FYB,AFG,broadband_subscriptions,2023.0,0.0800873,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
AF-GHA,AFG,population,2024.0,42647492.0,people,1,Total population (World Bank estimate)
AF-GHA,AFG,gdp,2023.0,17152234636.8715,current USD,2,GDP current US$ (World Bank estimate)
AF-GHA,AFG,unemployment_rate,2024.0,13.295,% of labor force,2,Unemployment rate (modeled ILO estimate)
AF-GHA,AFG,inflation_cpi,2024.0,-6.60118564073726,% change,2,"Inflation, consumer prices annual %"
AF-GHA,AFG,labour_force_participation,2024.0,37.496,% of population,2,Labor force participation rate (modeled ILO estimate)
AF-GHA,AFG,broadband_subscriptions,2023.0,0.0800873,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
AF-GHA,AFG,population,2024.0,42647492.0,people,1,Total population (World Bank estimate)
AF-GHA,AFG,gdp,2023.0,17152234636.8715,current USD,2,GDP current US$ (World Bank estimate)
AF-GHA,AFG,unemployment_rate,2024.0,13.295,% of labor force,2,Unemployment rate (modeled ILO estimate)
AF-GHA,AFG,inflation_cpi,2024.0,-6.60118564073726,% change,2,"Inflation, consumer prices annual %"
AF-GHA,AFG,labour_force_participation,2024.0,37.496,% of population,2,Labor force participation rate (modeled ILO estimate)
AF-GHA,AFG,broadband_subscriptions,2023.0,0.0800873,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
AF-GHO,AFG,population,2024.0,42647492.0,people,1,Total population (World Bank estimate)
AF-GHO,AFG,gdp,2023.0,17152234636.8715,current USD,2,GDP current US$ (World Bank estimate)
AF-GHO,AFG,unemployment_rate,2024.0,13.295,% of labor force,2,Unemployment rate (modeled ILO estimate)
AF-GHO,AFG,inflation_cpi,2024.0,-6.60118564073726,% change,2,"Inflation, consumer prices annual %"
AF-GHO,AFG,labour_force_participation,2024.0,37.496,% of population,2,Labor force participation rate (modeled ILO estimate)
AF-GHO,AFG,broadband_subscriptions,2023.0,0.0800873,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
AF-GHO,AFG,population,2024.0,42647492.0,people,1,Total population (World Bank estimate)
AF-GHO,AFG,gdp,2023.0,17152234636.8715,current USD,2,GDP current US$ (World Bank estimate)
AF-GHO,AFG,unemployment_rate,2024.0,13.295,% of labor force,2,Unemployment rate (modeled ILO estimate)
AF-GHO,AFG,inflation_cpi,2024.0,-6.60118564073726,% change,2,"Inflation, consumer prices annual %"
AF-GHO,AFG,labour_force_participation,2024.0,37.496,% of population,2,Labor force participation rate (modeled ILO estimate)
AF-GHO,AFG,broadband_subscriptions,2023.0,0.0800873,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
AF-HEL,AFG,population,2024.0,42647492.0,people,1,Total population (World Bank estimate)
AF-HEL,AFG,gdp,2023.0,17152234636.8715,current USD,2,GDP current US$ (World Bank estimate)
AF-HEL,AFG,unemployment_rate,2024.0,13.295,% of labor force,2,Unemployment rate (modeled ILO estimate)
AF-HEL,AFG,inflation_cpi,2024.0,-6.60118564073726,% change,2,"Inflation, consumer prices annual %"
AF-HEL,AFG,labour_force_participation,2024.0,37.496,% of population,2,Labor force participation rate (modeled ILO estimate)
AF-HEL,AFG,broadband_subscriptions,2023.0,0.0800873,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
AF-HEL,AFG,population,2024.0,42647492.0,people,1,Total population (World Bank estimate)
AF-HEL,AFG,gdp,2023.0,17152234636.8715,current USD,2,GDP current US$ (World Bank estimate)
AF-HEL,AFG,unemployment_rate,2024.0,13.295,% of labor force,2,Unemployment rate (modeled ILO estimate)
AF-HEL,AFG,inflation_cpi,2024.0,-6.60118564073726,% change,2,"Inflation, consumer prices annual %"
AF-HEL,AFG,labour_force_participation,2024.0,37.496,% of population,2,Labor force participation rate (modeled ILO estimate)
AF-HEL,AFG,broadband_subscriptions,2023.0,0.0800873,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
AF-HER,AFG,population,2024.0,42647492.0,people,1,Total population (World Bank estimate)
AF-HER,AFG,gdp,2023.0,17152234636.8715,current USD,2,GDP current US$ (World Bank estimate)
AF-HER,AFG,unemployment_rate,2024.0,13.295,% of labor force,2,Unemployment rate (modeled ILO estimate)
AF-HER,AFG,inflation_cpi,2024.0,-6.60118564073726,% change,2,"Inflation, consumer prices annual %"
AF-HER,AFG,labour_force_participation,2024.0,37.496,% of population,2,Labor force participation rate (modeled ILO estimate)
AF-HER,AFG,broadband_subscriptions,2023.0,0.0800873,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
AF-HER,AFG,population,2024.0,42647492.0,people,1,Total population (World Bank estimate)
AF-HER,AFG,gdp,2023.0,17152234636.8715,current USD,2,GDP current US$ (World Bank estimate)
AF-HER,AFG,unemployment_rate,2024.0,13.295,% of labor force,2,Unemployment rate (modeled ILO estimate)
AF-HER,AFG,inflation_cpi,2024.0,-6.60118564073726,% change,2,"Inflation, consumer prices annual %"
AF-HER,AFG,labour_force_participation,2024.0,37.496,% of population,2,Labor force participation rate (modeled ILO estimate)
AF-HER,AFG,broadband_subscriptions,2023.0,0.0800873,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
AF-JOW,AFG,population,2024.0,42647492.0,people,1,Total population (World Bank estimate)
AF-JOW,AFG,gdp,2023.0,17152234636.8715,current USD,2,GDP current US$ (World Bank estimate)
AF-JOW,AFG,unemployment_rate,2024.0,13.295,% of labor force,2,Unemployment rate (modeled ILO estimate)
AF-JOW,AFG,inflation_cpi,2024.0,-6.60118564073726,% change,2,"Inflation, consumer prices annual %"
AF-JOW,AFG,labour_force_participation,2024.0,37.496,% of population,2,Labor force participation rate (modeled ILO estimate)
AF-JOW,AFG,broadband_subscriptions,2023.0,0.0800873,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
AF-JOW,AFG,population,2024.0,42647492.0,people,1,Total population (World Bank estimate)
AF-JOW,AFG,gdp,2023.0,17152234636.8715,current USD,2,GDP current US$ (World Bank estimate)
AF-JOW,AFG,unemployment_rate,2024.0,13.295,% of labor force,2,Unemployment rate (modeled ILO estimate)
AF-JOW,AFG,inflation_cpi,2024.0,-6.60118564073726,% change,2,"Inflation, consumer prices annual %"
AF-JOW,AFG,labour_force_participation,2024.0,37.496,% of population,2,Labor force participation rate (modeled ILO estimate)
AF-JOW,AFG,broadband_subscriptions,2023.0,0.0800873,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
AF-KAN,AFG,population,2024.0,42647492.0,people,1,Total population (World Bank estimate)
AF-KAN,AFG,gdp,2023.0,17152234636.8715,current USD,2,GDP current US$ (World Bank estimate)
AF-KAN,AFG,unemployment_rate,2024.0,13.295,% of labor force,2,Unemployment rate (modeled ILO estimate)
AF-KAN,AFG,inflation_cpi,2024.0,-6.60118564073726,% change,2,"Inflation, consumer prices annual %"
AF-KAN,AFG,labour_force_participation,2024.0,37.496,% of population,2,Labor force participation rate (modeled ILO estimate)
AF-KAN,AFG,broadband_subscriptions,2023.0,0.0800873,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
AF-KAN,AFG,population,2024.0,42647492.0,people,1,Total population (World Bank estimate)
AF-KAN,AFG,gdp,2023.0,17152234636.8715,current USD,2,GDP current US$ (World Bank estimate)
AF-KAN,AFG,unemployment_rate,2024.0,13.295,% of labor force,2,Unemployment rate (modeled ILO estimate)
AF-KAN,AFG,inflation_cpi,2024.0,-6.60118564073726,% change,2,"Inflation, consumer prices annual %"
AF-KAN,AFG,labour_force_participation,2024.0,37.496,% of population,2,Labor force participation rate (modeled ILO estimate)
AF-KAN,AFG,broadband_subscriptions,2023.0,0.0800873,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
AF-KHO,AFG,population,2024.0,42647492.0,people,1,Total population (World Bank estimate)
AF-KHO,AFG,gdp,2023.0,17152234636.8715,current USD,2,GDP current US$ (World Bank estimate)
AF-KHO,AFG,unemployment_rate,2024.0,13.295,% of labor force,2,Unemployment rate (modeled ILO estimate)
AF-KHO,AFG,inflation_cpi,2024.0,-6.60118564073726,% change,2,"Inflation, consumer prices annual %"
AF-KHO,AFG,labour_force_participation,2024.0,37.496,% of population,2,Labor force participation rate (modeled ILO estimate)
AF-KHO,AFG,broadband_subscriptions,2023.0,0.0800873,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
AF-KHO,AFG,population,2024.0,42647492.0,people,1,Total population (World Bank estimate)
AF-KHO,AFG,gdp,2023.0,17152234636.8715,current USD,2,GDP current US$ (World Bank estimate)
AF-KHO,AFG,unemployment_rate,2024.0,13.295,% of labor force,2,Unemployment rate (modeled ILO estimate)
AF-KHO,AFG,inflation_cpi,2024.0,-6.60118564073726,% change,2,"Inflation, consumer prices annual %"
AF-KHO,AFG,labour_force_participation,2024.0,37.496,% of population,2,Labor force participation rate (modeled ILO estimate)
AF-KHO,AFG,broadband_subscriptions,2023.0,0.0800873,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
AF-KNR,AFG,population,2024.0,42647492.0,people,1,Total population (World Bank estimate)
AF-KNR,AFG,gdp,2023.0,17152234636.8715,current USD,2,GDP current US$ (World Bank estimate)
AF-KNR,AFG,unemployment_rate,2024.0,13.295,% of labor force,2,Unemployment rate (modeled ILO estimate)
AF-KNR,AFG,inflation_cpi,2024.0,-6.60118564073726,% change,2,"Inflation, consumer prices annual %"
AF-KNR,AFG,labour_force_participation,2024.0,37.496,% of population,2,Labor force participation rate (modeled ILO estimate)
AF-KNR,AFG,broadband_subscriptions,2023.0,0.0800873,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
