source_id,endpoint,parameters,auth,rate_limit,cadence,change_detection,readiness,contact_channel,verification_date,problem_keywords,esg_focus,notes
PA_Workforce_Programs,https://www.dced.pa.gov/business-assistance/workforce-development/,Static page listing workforce programs,None,None,Updated as programs change,Monitor site,Available,Pennsylvania DCED,2025-10-02,"WEDnetPA, FIT, Training-to-Career, PASmart",Focus on high-wage jobs and inclusivity,Describes workforce programs and nearly 6.5M workforce【139518660860454†L124-L145】【139518660860454†L232-L263】
WEDnetPA,https://www.wednetpa.com/,Static site describing training grants,None,None,Updated each fiscal year,Monitor updates,Available,WEDnetPA office,2025-10-02,"WEDnetPA training, grant amounts",Promotes equitable workforce development,Details $2k per employee training and program scale【475633660276941†L14-L90】
PHL_Wikipedia,https://en.wikipedia.org/wiki/Philadelphia_International_Airport,Static page with airport statistics,None,None,Updated annually,Manual check,Available,Wikipedia Talk Page,2025-10-02,"PHL passengers, cargo statistics",Notes about sustainability programs,Provides 2024 passenger and cargo figures【766294595313693†L265-L284】
PA_Workforce_Train,https://www.dced.pa.gov/business-assistance/workforce-development,Same as above; duplication for reference,None,None,As above,As above,Available,Pennsylvania DCED,2025-10-02,Pennsylvania workforce training,Same as above,Source duplicates WEDnet but emphasises other programs
OH_Economy_Wiki,https://en.wikipedia.org/wiki/Economy_of_Ohio,Static page describing Ohio economy,None,None,Updated as needed,Manual,Available,Wikipedia Talk Page,2025-10-02,"Ohio GDP, manufacturing state",Mentions manufacturing and energy sectors,Provides GDP ranking and manufacturing workforce share【325971847033722†L156-L184】
GA_QuickStart,https://www.georgia.org/quickstart,Static page describing Quick Start,None,None,Updated occasionally,Manual check,Available,Georgia Department of Economic Development,2025-10-02,Georgia Quick Start training,Highlights customized training and equity,Training program has supported over 1M employees【421518063159768†L137-L156】
Port_Savannah_Blog,https://www.csatransportation.com/blog/major-seaports,Blog article summarizing seaport statistics,None,None,One-off article,N/A,Available,CSA Transportation,2025-10-02,Port of Savannah TEUs 2024,Mentions capacity expansion and sustainability,States Port of Savannah handled 5.6M TEUs in 2024【796573735497601†L131-L138】
ATL_Wikipedia,https://en.wikipedia.org/wiki/Hartsfield%E2%80%93Jackson_Atlanta_International_Airport,Static page with airport statistics,None,None,Updated annually,Manual check,Available,Wikipedia Talk Page,2025-10-02,ATL passengers and cargo 2024,Notes world’s busiest airport and sustainability efforts,Provides 2024 passenger and cargo figures【110421785373083†L249-L266】
WA_Worker_Retraining,https://blog.nucamp.co/wa-job-training-programs,Blog summarizing workforce programs,None,None,One-off article,N/A,Available,Nucamp,2025-10-02,"Washington Worker Retraining Program, aerospace training, Apprenti",Highlights digital and clean energy skills training,"Describes Worker Retraining, aerospace and construction programs with statistics【914854577440599†L176-L306】"
WA_Key_Industries,https://www.commerce.wa.gov/key-industries,Static page listing key industries,None,None,Updated occasionally,Manual check,Available,Washington State Department of Commerce,2025-10-02,"Washington aerospace, agriculture, ICT, clean technology",Mentions clean technology and circular economy,Enumerates key sectors and job numbers【610271651730567†L91-L214】
WA_GDP_USAFacts,https://usafacts.org/data/topics/economy/gross-domestic-product/state/washington,API or chart with GDP data,None,Unknown,Annual updates,Monitor site or API,Available,USAFacts support,2025-10-02,"Washington GDP, information sector",Highlights growth in information industry,Reports 2024 GDP of $702B and sector contributions【888193092063732†L16-L66】
NWSA_Trade_Report,https://www.nwseaportalliance.com/2024-annual-trade-report,PDF with trade statistics,None,None,Annual report,Monitor release of annual reports,Available,Northwest Seaport Alliance,2025-10-02,NWSA TEUs 2024,Discusses sustainable port operations,States NWSA handled 3.3M TEUs in 2024【427233726318915†L45-L51】
NWSA_Cargo_Stats,https://www.nwseaportalliance.com/about/statistics,Static page with trade statistics,None,None,Updated regularly,Monitor site,Available,Northwest Seaport Alliance,2025-10-02,"NWSA trade value, jobs",Highlights economic impact,States NWSA handled $76B in trade and supports 52k jobs【231498291560389†L152-L156】
SEA_Tac_News,https://www.theurbanist.org/2025/01/10/seattle-tacoma-airport-breaks-passenger-records,News article,None,None,One-off news article,N/A,Available,The Urbanist,2025-10-02,Sea-Tac passengers 2024,Discusses growth and infrastructure plans,Reports 52.6M passengers in 2024 with growth forecast【311096810386811†L110-L118】
NJ_Industry_Sectors,https://www.nj.gov/labor/research-info/industry-sectors.shtml,Static page listing sectors and statistics,None,None,Updated periodically,Monitor site,Available,NJ Department of Labor,2025-10-02,"NJ manufacturing, life sciences, finance, health care",Discusses employment and wages,Provides employment and GDP figures for multiple sectors【995036515468166†L141-L153】【995036515468166†L162-L168】【995036515468166†L188-L198】【995036515468166†L202-L210】【995036515468166†L236-L246】【995036515468166†L278-L286】
NJ_Pathways,https://www.njcommunitycolleges.org/initiatives/nj-pathways-to-career-opportunities,Static page describing NJ Pathways,None,None,Updated as initiative evolves,Monitor site,Available,New Jersey Council of County Colleges,2025-10-02,NJ Pathways workforce initiative,Promotes equity and high-wage opportunities,Describes partnership between community colleges and NJBIA; lists four focus industries and goals【689022698489809†L85-L134】【689022698489809†L176-L181】【689022698489809†L189-L211】
