country,parent_admin_unit,admin_unit,admin_unit_level,program_name,program_type,program_focus,program_description,eligible_entities,funding_amount,application_window,delivery_partners,related_STRATEGIC_STACK,unsdg_alignment,capital_stack_notes,portfolio_fit,verification_sources,data_quality,last_updated
US,United States - US,Colorado (US-CO),State,Transmission Siting and Economic Development (TSED) Grant Program,Grant,clean energy|infrastructure|climate resilience|economic development,The U.S. Department of Energy’s Grid Deployment Office provides up to $760 million to accelerate siting and permitting of high‑voltage transmission projects and to support community infrastructure and economic development projects in states where transmission lines are built. The program streamlines permitting and funds local benefits such as infrastructure upgrades and community engagement【213348371911855†L121-L139】.,State energy offices|Public utility commissions|Local governments|Community organisations in affected states,USD up to $760 million total; project awards vary (unknown per state),Rolling; selections announced annually,U.S. Department of Energy Grid Deployment Office|State agencies|Local governments,grants|technical assistance|community benefits agreements,"SDG 7 – Affordable and Clean Energy|SDG 9 – Industry, Innovation and Infrastructure|SDG 11 – Sustainable Cities and Communities|SDG 13 – Climate Action",Federal grants can be layered with state and private financing for transmission projects; community projects may leverage additional funding from local governments and private partners.,clean power|grid infrastructure|community resilience,https://www.energy.gov/gdo/transmission-siting-and-economic-development-grants-program【213348371911855†L121-L139】,official secondary,2025-10-01T13:36:31.766825
US,United States - US,Colorado (US-CO),State,Rural Economic Development Loan & Grant (REDLG) Program,Loan & Grant,rural development|infrastructure|business support|health|education,"USDA’s Rural Economic Development Loan and Grant program provides zero‑interest loans to local utilities which re‑lend the funds to rural businesses and community facilities. Grants of up to $300,000 establish revolving loan funds. Funding can support business incubators, community development, equipment for education and medical care, start‑up costs and expansion of rural enterprises【465656359637599†L31-L40】【465656359637599†L68-L74】.","Former Rural Utilities Service borrowers|Nonprofit utilities|Current Rural Development electric or telecommunications program borrowers; ultimate recipients include rural for‑profit businesses and non‑profits in communities under 50,000 population【465656359637599†L52-L56】","Loans up to USD 1 million; grants up to USD 300,000; ultimate recipients may receive up to 80% of project costs with 20% match【465656359637599†L36-L40】【465656359637599†L83-L88】",Applications accepted periodically via USDA notices,USDA Rural Development (Rural Business Service)|Local utility organizations,zero‑interest loans|grants|revolving loan funds|technical assistance,"SDG 1 – No Poverty|SDG 8 – Decent Work and Economic Growth|SDG 9 – Industry, Innovation and Infrastructure",Zero‑interest loans and grants can be combined with private financing and local utility contributions; revolving funds provide ongoing capital for rural projects.,rural infrastructure|digital connectivity|business incubation,https://www.appalachiandevelopment.org/funding/rural-economic-development-loan-and-grant-program【465656359637599†L31-L40】【465656359637599†L52-L74】【465656359637599†L83-L88】,official secondary,2025-10-01T13:36:31.766825
US,United States - US,Connecticut (US-CT),State,Transmission Siting and Economic Development (TSED) Grant Program,Grant,clean energy|infrastructure|climate resilience|economic development,The U.S. Department of Energy’s Grid Deployment Office provides up to $760 million to accelerate siting and permitting of high‑voltage transmission projects and to support community infrastructure and economic development projects in states where transmission lines are built. The program streamlines permitting and funds local benefits such as infrastructure upgrades and community engagement【213348371911855†L121-L139】.,State energy offices|Public utility commissions|Local governments|Community organisations in affected states,USD up to $760 million total; project awards vary (unknown per state),Rolling; selections announced annually,U.S. Department of Energy Grid Deployment Office|State agencies|Local governments,grants|technical assistance|community benefits agreements,"SDG 7 – Affordable and Clean Energy|SDG 9 – Industry, Innovation and Infrastructure|SDG 11 – Sustainable Cities and Communities|SDG 13 – Climate Action",Federal grants can be layered with state and private financing for transmission projects; community projects may leverage additional funding from local governments and private partners.,clean power|grid infrastructure|community resilience,https://www.energy.gov/gdo/transmission-siting-and-economic-development-grants-program【213348371911855†L121-L139】,official secondary,2025-10-01T13:36:31.766825
US,United States - US,Connecticut (US-CT),State,Rural Economic Development Loan & Grant (REDLG) Program,Loan & Grant,rural development|infrastructure|business support|health|education,"USDA’s Rural Economic Development Loan and Grant program provides zero‑interest loans to local utilities which re‑lend the funds to rural businesses and community facilities. Grants of up to $300,000 establish revolving loan funds. Funding can support business incubators, community development, equipment for education and medical care, start‑up costs and expansion of rural enterprises【465656359637599†L31-L40】【465656359637599†L68-L74】.","Former Rural Utilities Service borrowers|Nonprofit utilities|Current Rural Development electric or telecommunications program borrowers; ultimate recipients include rural for‑profit businesses and non‑profits in communities under 50,000 population【465656359637599†L52-L56】","Loans up to USD 1 million; grants up to USD 300,000; ultimate recipients may receive up to 80% of project costs with 20% match【465656359637599†L36-L40】【465656359637599†L83-L88】",Applications accepted periodically via USDA notices,USDA Rural Development (Rural Business Service)|Local utility organizations,zero‑interest loans|grants|revolving loan funds|technical assistance,"SDG 1 – No Poverty|SDG 8 – Decent Work and Economic Growth|SDG 9 – Industry, Innovation and Infrastructure",Zero‑interest loans and grants can be combined with private financing and local utility contributions; revolving funds provide ongoing capital for rural projects.,rural infrastructure|digital connectivity|business incubation,https://www.appalachiandevelopment.org/funding/rural-economic-development-loan-and-grant-program【465656359637599†L31-L40】【465656359637599†L52-L74】【465656359637599†L83-L88】,official secondary,2025-10-01T13:36:31.766825
US,United States - US,Delaware (US-DE),State,Transmission Siting and Economic Development (TSED) Grant Program,Grant,clean energy|infrastructure|climate resilience|economic development,The U.S. Department of Energy’s Grid Deployment Office provides up to $760 million to accelerate siting and permitting of high‑voltage transmission projects and to support community infrastructure and economic development projects in states where transmission lines are built. The program streamlines permitting and funds local benefits such as infrastructure upgrades and community engagement【213348371911855†L121-L139】.,State energy offices|Public utility commissions|Local governments|Community organisations in affected states,USD up to $760 million total; project awards vary (unknown per state),Rolling; selections announced annually,U.S. Department of Energy Grid Deployment Office|State agencies|Local governments,grants|technical assistance|community benefits agreements,"SDG 7 – Affordable and Clean Energy|SDG 9 – Industry, Innovation and Infrastructure|SDG 11 – Sustainable Cities and Communities|SDG 13 – Climate Action",Federal grants can be layered with state and private financing for transmission projects; community projects may leverage additional funding from local governments and private partners.,clean power|grid infrastructure|community resilience,https://www.energy.gov/gdo/transmission-siting-and-economic-development-grants-program【213348371911855†L121-L139】,official secondary,2025-10-01T13:36:31.766825
US,United States - US,Delaware (US-DE),State,Rural Economic Development Loan & Grant (REDLG) Program,Loan & Grant,rural development|infrastructure|business support|health|education,"USDA’s Rural Economic Development Loan and Grant program provides zero‑interest loans to local utilities which re‑lend the funds to rural businesses and community facilities. Grants of up to $300,000 establish revolving loan funds. Funding can support business incubators, community development, equipment for education and medical care, start‑up costs and expansion of rural enterprises【465656359637599†L31-L40】【465656359637599†L68-L74】.","Former Rural Utilities Service borrowers|Nonprofit utilities|Current Rural Development electric or telecommunications program borrowers; ultimate recipients include rural for‑profit businesses and non‑profits in communities under 50,000 population【465656359637599†L52-L56】","Loans up to USD 1 million; grants up to USD 300,000; ultimate recipients may receive up to 80% of project costs with 20% match【465656359637599†L36-L40】【465656359637599†L83-L88】",Applications accepted periodically via USDA notices,USDA Rural Development (Rural Business Service)|Local utility organizations,zero‑interest loans|grants|revolving loan funds|technical assistance,"SDG 1 – No Poverty|SDG 8 – Decent Work and Economic Growth|SDG 9 – Industry, Innovation and Infrastructure",Zero‑interest loans and grants can be combined with private financing and local utility contributions; revolving funds provide ongoing capital for rural projects.,rural infrastructure|digital connectivity|business incubation,https://www.appalachiandevelopment.org/funding/rural-economic-development-loan-and-grant-program【465656359637599†L31-L40】【465656359637599†L52-L74】【465656359637599†L83-L88】,official secondary,2025-10-01T13:36:31.766825
US,United States - US,District of Columbia (US-DC),State,Transmission Siting and Economic Development (TSED) Grant Program,Grant,clean energy|infrastructure|climate resilience|economic development,The U.S. Department of Energy’s Grid Deployment Office provides up to $760 million to accelerate siting and permitting of high‑voltage transmission projects and to support community infrastructure and economic development projects in states where transmission lines are built. The program streamlines permitting and funds local benefits such as infrastructure upgrades and community engagement【213348371911855†L121-L139】.,State energy offices|Public utility commissions|Local governments|Community organisations in affected states,USD up to $760 million total; project awards vary (unknown per state),Rolling; selections announced annually,U.S. Department of Energy Grid Deployment Office|State agencies|Local governments,grants|technical assistance|community benefits agreements,"SDG 7 – Affordable and Clean Energy|SDG 9 – Industry, Innovation and Infrastructure|SDG 11 – Sustainable Cities and Communities|SDG 13 – Climate Action",Federal grants can be layered with state and private financing for transmission projects; community projects may leverage additional funding from local governments and private partners.,clean power|grid infrastructure|community resilience,https://www.energy.gov/gdo/transmission-siting-and-economic-development-grants-program【213348371911855†L121-L139】,official secondary,2025-10-01T13:36:31.766825
US,United States - US,District of Columbia (US-DC),State,Rural Economic Development Loan & Grant (REDLG) Program,Loan & Grant,rural development|infrastructure|business support|health|education,"USDA’s Rural Economic Development Loan and Grant program provides zero‑interest loans to local utilities which re‑lend the funds to rural businesses and community facilities. Grants of up to $300,000 establish revolving loan funds. Funding can support business incubators, community development, equipment for education and medical care, start‑up costs and expansion of rural enterprises【465656359637599†L31-L40】【465656359637599†L68-L74】.","Former Rural Utilities Service borrowers|Nonprofit utilities|Current Rural Development electric or telecommunications program borrowers; ultimate recipients include rural for‑profit businesses and non‑profits in communities under 50,000 population【465656359637599†L52-L56】","Loans up to USD 1 million; grants up to USD 300,000; ultimate recipients may receive up to 80% of project costs with 20% match【465656359637599†L36-L40】【465656359637599†L83-L88】",Applications accepted periodically via USDA notices,USDA Rural Development (Rural Business Service)|Local utility organizations,zero‑interest loans|grants|revolving loan funds|technical assistance,"SDG 1 – No Poverty|SDG 8 – Decent Work and Economic Growth|SDG 9 – Industry, Innovation and Infrastructure",Zero‑interest loans and grants can be combined with private financing and local utility contributions; revolving funds provide ongoing capital for rural projects.,rural infrastructure|digital connectivity|business incubation,https://www.appalachiandevelopment.org/funding/rural-economic-development-loan-and-grant-program【465656359637599†L31-L40】【465656359637599†L52-L74】【465656359637599†L83-L88】,official secondary,2025-10-01T13:36:31.766825
US,United States - US,Florida (US-FL),State,Transmission Siting and Economic Development (TSED) Grant Program,Grant,clean energy|infrastructure|climate resilience|economic development,The U.S. Department of Energy’s Grid Deployment Office provides up to $760 million to accelerate siting and permitting of high‑voltage transmission projects and to support community infrastructure and economic development projects in states where transmission lines are built. The program streamlines permitting and funds local benefits such as infrastructure upgrades and community engagement【213348371911855†L121-L139】.,State energy offices|Public utility commissions|Local governments|Community organisations in affected states,USD up to $760 million total; project awards vary (unknown per state),Rolling; selections announced annually,U.S. Department of Energy Grid Deployment Office|State agencies|Local governments,grants|technical assistance|community benefits agreements,"SDG 7 – Affordable and Clean Energy|SDG 9 – Industry, Innovation and Infrastructure|SDG 11 – Sustainable Cities and Communities|SDG 13 – Climate Action",Federal grants can be layered with state and private financing for transmission projects; community projects may leverage additional funding from local governments and private partners.,clean power|grid infrastructure|community resilience,https://www.energy.gov/gdo/transmission-siting-and-economic-development-grants-program【213348371911855†L121-L139】,official secondary,2025-10-01T13:36:31.766825
US,United States - US,Florida (US-FL),State,Rural Economic Development Loan & Grant (REDLG) Program,Loan & Grant,rural development|infrastructure|business support|health|education,"USDA’s Rural Economic Development Loan and Grant program provides zero‑interest loans to local utilities which re‑lend the funds to rural businesses and community facilities. Grants of up to $300,000 establish revolving loan funds. Funding can support business incubators, community development, equipment for education and medical care, start‑up costs and expansion of rural enterprises【465656359637599†L31-L40】【465656359637599†L68-L74】.","Former Rural Utilities Service borrowers|Nonprofit utilities|Current Rural Development electric or telecommunications program borrowers; ultimate recipients include rural for‑profit businesses and non‑profits in communities under 50,000 population【465656359637599†L52-L56】","Loans up to USD 1 million; grants up to USD 300,000; ultimate recipients may receive up to 80% of project costs with 20% match【465656359637599†L36-L40】【465656359637599†L83-L88】",Applications accepted periodically via USDA notices,USDA Rural Development (Rural Business Service)|Local utility organizations,zero‑interest loans|grants|revolving loan funds|technical assistance,"SDG 1 – No Poverty|SDG 8 – Decent Work and Economic Growth|SDG 9 – Industry, Innovation and Infrastructure",Zero‑interest loans and grants can be combined with private financing and local utility contributions; revolving funds provide ongoing capital for rural projects.,rural infrastructure|digital connectivity|business incubation,https://www.appalachiandevelopment.org/funding/rural-economic-development-loan-and-grant-program【465656359637599†L31-L40】【465656359637599†L52-L74】【465656359637599†L83-L88】,official secondary,2025-10-01T13:36:31.766825
US,United States - US,Georgia (US-GA),State,Transmission Siting and Economic Development (TSED) Grant Program,Grant,clean energy|infrastructure|climate resilience|economic development,The U.S. Department of Energy’s Grid Deployment Office provides up to $760 million to accelerate siting and permitting of high‑voltage transmission projects and to support community infrastructure and economic development projects in states where transmission lines are built. The program streamlines permitting and funds local benefits such as infrastructure upgrades and community engagement【213348371911855†L121-L139】.,State energy offices|Public utility commissions|Local governments|Community organisations in affected states,USD up to $760 million total; project awards vary (unknown per state),Rolling; selections announced annually,U.S. Department of Energy Grid Deployment Office|State agencies|Local governments,grants|technical assistance|community benefits agreements,"SDG 7 – Affordable and Clean Energy|SDG 9 – Industry, Innovation and Infrastructure|SDG 11 – Sustainable Cities and Communities|SDG 13 – Climate Action",Federal grants can be layered with state and private financing for transmission projects; community projects may leverage additional funding from local governments and private partners.,clean power|grid infrastructure|community resilience,https://www.energy.gov/gdo/transmission-siting-and-economic-development-grants-program【213348371911855†L121-L139】,official secondary,2025-10-01T13:36:31.766825
US,United States - US,Georgia (US-GA),State,Rural Economic Development Loan & Grant (REDLG) Program,Loan & Grant,rural development|infrastructure|business support|health|education,"USDA’s Rural Economic Development Loan and Grant program provides zero‑interest loans to local utilities which re‑lend the funds to rural businesses and community facilities. Grants of up to $300,000 establish revolving loan funds. Funding can support business incubators, community development, equipment for education and medical care, start‑up costs and expansion of rural enterprises【465656359637599†L31-L40】【465656359637599†L68-L74】.","Former Rural Utilities Service borrowers|Nonprofit utilities|Current Rural Development electric or telecommunications program borrowers; ultimate recipients include rural for‑profit businesses and non‑profits in communities under 50,000 population【465656359637599†L52-L56】","Loans up to USD 1 million; grants up to USD 300,000; ultimate recipients may receive up to 80% of project costs with 20% match【465656359637599†L36-L40】【465656359637599†L83-L88】",Applications accepted periodically via USDA notices,USDA Rural Development (Rural Business Service)|Local utility organizations,zero‑interest loans|grants|revolving loan funds|technical assistance,"SDG 1 – No Poverty|SDG 8 – Decent Work and Economic Growth|SDG 9 – Industry, Innovation and Infrastructure",Zero‑interest loans and grants can be combined with private financing and local utility contributions; revolving funds provide ongoing capital for rural projects.,rural infrastructure|digital connectivity|business incubation,https://www.appalachiandevelopment.org/funding/rural-economic-development-loan-and-grant-program【465656359637599†L31-L40】【465656359637599†L52-L74】【465656359637599†L83-L88】,official secondary,2025-10-01T13:36:31.766825
US,United States - US,Hawaii (US-HI),State,Transmission Siting and Economic Development (TSED) Grant Program,Grant,clean energy|infrastructure|climate resilience|economic development,The U.S. Department of Energy’s Grid Deployment Office provides up to $760 million to accelerate siting and permitting of high‑voltage transmission projects and to support community infrastructure and economic development projects in states where transmission lines are built. The program streamlines permitting and funds local benefits such as infrastructure upgrades and community engagement【213348371911855†L121-L139】.,State energy offices|Public utility commissions|Local governments|Community organisations in affected states,USD up to $760 million total; project awards vary (unknown per state),Rolling; selections announced annually,U.S. Department of Energy Grid Deployment Office|State agencies|Local governments,grants|technical assistance|community benefits agreements,"SDG 7 – Affordable and Clean Energy|SDG 9 – Industry, Innovation and Infrastructure|SDG 11 – Sustainable Cities and Communities|SDG 13 – Climate Action",Federal grants can be layered with state and private financing for transmission projects; community projects may leverage additional funding from local governments and private partners.,clean power|grid infrastructure|community resilience,https://www.energy.gov/gdo/transmission-siting-and-economic-development-grants-program【213348371911855†L121-L139】,official secondary,2025-10-01T13:36:31.766825
